"season","team","gp","min","fg_pct","dist","pct_of_fga_twos","pct_of_fga_zero_three","pct_of_fga_three_ten","pct_of_fga_ten_sixteen","pct_of_fga_sixteen_three","pct_of_fga_threes","fg_pct_twos","fg_pct_zero_three","fg_pct_three_ten","fg_pct_ten_sixteen","fg_pct_sixteen_three","fg_pct_threes","pct_of_twos_astd","pct_of_threes_astd","pct_of_fga_dunk_att","dunks_made","pct_of_threes_corner_att","corner_threes_pct","heaves_att","heaves_made","pct_of_fga_layup_att","layups_made"
2025,"Atlanta Hawks",82,19780,0.472,13.7,0.59,0.257,0.228,0.077,0.027,0.41,0.552,0.676,0.473,0.422,0.398,0.358,0.622,0.815,0.072,484,0.277,0.405,20,1,0.263,1089
2025,"Boston Celtics",82,19830,0.462,17,0.464,0.179,0.168,0.073,0.045,0.536,0.571,0.748,0.487,0.424,0.416,0.368,0.505,0.794,0.054,352,0.187,0.393,12,0,0.213,936
2025,"Brooklyn Nets",82,19780,0.437,14.7,0.542,0.228,0.214,0.07,0.03,0.458,0.515,0.673,0.399,0.412,0.386,0.344,0.54,0.897,0.051,305,0.265,0.348,14,0,0.277,1021
2025,"Chicago Bulls",82,19755,0.47,14.6,0.543,0.264,0.187,0.057,0.036,0.457,0.556,0.655,0.494,0.428,0.348,0.367,0.567,0.862,0.043,277,0.25,0.389,15,2,0.291,1284
2025,"Charlotte Hornets",82,19755,0.43,14.6,0.57,0.226,0.223,0.082,0.04,0.43,0.499,0.674,0.397,0.353,0.371,0.339,0.54,0.819,0.059,379,0.235,0.369,22,0,0.249,949
2025,"Cleveland Cavaliers",82,19755,0.491,14.9,0.543,0.241,0.19,0.075,0.037,0.457,0.581,0.707,0.503,0.483,0.362,0.383,0.546,0.784,0.066,444,0.245,0.401,11,1,0.234,1005
2025,"Dallas Mavericks",82,19730,0.479,13.9,0.611,0.227,0.23,0.099,0.056,0.389,0.552,0.726,0.458,0.443,0.418,0.364,0.515,0.806,0.06,372,0.261,0.379,15,0,0.252,1076
2025,"Denver Nuggets",82,19855,0.506,13.2,0.644,0.265,0.237,0.076,0.067,0.356,0.578,0.715,0.512,0.45,0.413,0.376,0.624,0.846,0.073,465,0.215,0.431,38,2,0.318,1406
2025,"Detroit Pistons",82,19805,0.476,13.8,0.606,0.227,0.251,0.085,0.043,0.394,0.55,0.693,0.485,0.449,0.366,0.362,0.517,0.853,0.085,558,0.24,0.379,20,0,0.264,1041
2025,"Golden State Warriors",82,19730,0.451,15.4,0.531,0.168,0.252,0.068,0.043,0.469,0.528,0.689,0.483,0.404,0.353,0.364,0.616,0.874,0.052,339,0.238,0.389,22,1,0.294,1197
2025,"Houston Rockets",82,19780,0.455,14,0.616,0.234,0.219,0.099,0.064,0.384,0.518,0.674,0.447,0.401,0.371,0.353,0.447,0.79,0.066,439,0.205,0.373,16,0,0.282,1144
2025,"Indiana Pacers",82,19855,0.488,14.5,0.6,0.218,0.207,0.111,0.062,0.4,0.568,0.707,0.519,0.473,0.409,0.368,0.597,0.842,0.053,342,0.25,0.401,22,0,0.276,1221
2025,"Los Angeles Clippers",82,19805,0.482,13.9,0.613,0.208,0.256,0.108,0.042,0.387,0.55,0.707,0.486,0.456,0.408,0.373,0.549,0.738,0.074,476,0.23,0.403,7,0,0.231,888
2025,"Los Angeles Lakers",82,19730,0.479,14.8,0.575,0.218,0.203,0.097,0.056,0.425,0.562,0.753,0.468,0.429,0.395,0.366,0.555,0.801,0.077,491,0.239,0.394,18,0,0.247,1022
2025,"Memphis Grizzlies",82,19705,0.479,13.9,0.594,0.213,0.269,0.085,0.027,0.406,0.556,0.713,0.475,0.468,0.4,0.367,0.527,0.874,0.05,341,0.254,0.37,24,1,0.261,1159
2025,"Miami Heat",82,19930,0.465,14.4,0.571,0.211,0.229,0.098,0.033,0.429,0.538,0.678,0.461,0.451,0.434,0.367,0.541,0.872,0.056,356,0.28,0.394,15,0,0.247,982
2025,"Milwaukee Bucks",82,19755,0.486,15.1,0.576,0.244,0.15,0.095,0.086,0.424,0.56,0.715,0.439,0.453,0.449,0.387,0.479,0.857,0.064,404,0.242,0.438,13,2,0.251,1037
2025,"Minnesota Timberwolves",82,19830,0.468,14.7,0.545,0.238,0.197,0.076,0.034,0.455,0.545,0.714,0.427,0.409,0.34,0.377,0.553,0.782,0.071,446,0.243,0.398,25,0,0.253,1017
2025,"New Orleans Pelicans",82,19755,0.452,13.7,0.615,0.25,0.213,0.104,0.047,0.385,0.518,0.666,0.417,0.432,0.379,0.347,0.552,0.835,0.063,396,0.25,0.365,6,0,0.27,1091
2025,"New York Knicks",82,19880,0.486,13.5,0.618,0.27,0.196,0.107,0.045,0.382,0.558,0.696,0.445,0.477,0.412,0.369,0.555,0.828,0.057,377,0.285,0.386,19,0,0.275,1170
2025,"Oklahoma City Thunder",82,19705,0.482,14.6,0.581,0.216,0.196,0.123,0.046,0.419,0.559,0.71,0.466,0.5,0.406,0.374,0.482,0.849,0.053,363,0.213,0.404,5,0,0.263,1164
2025,"Orlando Magic",82,19730,0.445,14.5,0.589,0.225,0.214,0.09,0.06,0.411,0.533,0.701,0.451,0.408,0.388,0.318,0.505,0.837,0.066,396,0.27,0.352,24,0,0.26,1037
2025,"Philadelphia 76ers",82,19805,0.454,14.6,0.574,0.253,0.184,0.084,0.053,0.426,0.537,0.676,0.433,0.448,0.381,0.341,0.485,0.795,0.055,345,0.2,0.386,25,0,0.283,1115
2025,"Phoenix Suns",82,19830,0.478,15.8,0.56,0.143,0.199,0.156,0.061,0.44,0.556,0.756,0.485,0.495,0.478,0.378,0.558,0.889,0.053,321,0.29,0.425,7,0,0.184,759
2025,"Portland Trail Blazers",82,19780,0.45,14.1,0.582,0.268,0.197,0.069,0.047,0.418,0.527,0.675,0.39,0.418,0.421,0.342,0.48,0.816,0.064,408,0.234,0.345,19,1,0.305,1221
2025,"Sacramento Kings",82,19880,0.478,15,0.609,0.171,0.224,0.123,0.092,0.391,0.555,0.715,0.529,0.479,0.425,0.357,0.511,0.865,0.05,341,0.233,0.397,13,0,0.251,1104
2025,"San Antonio Spurs",82,19730,0.465,14.6,0.559,0.256,0.171,0.083,0.05,0.441,0.551,0.694,0.435,0.437,0.403,0.357,0.595,0.862,0.071,456,0.249,0.397,18,0,0.26,1091
2025,"Toronto Raptors",82,19805,0.458,13,0.627,0.283,0.217,0.094,0.033,0.373,0.523,0.654,0.407,0.459,0.347,0.348,0.599,0.904,0.054,339,0.283,0.381,21,0,0.313,1278
2025,"Utah Jazz",82,19805,0.454,14.8,0.551,0.166,0.276,0.078,0.031,0.449,0.54,0.699,0.495,0.423,0.368,0.35,0.532,0.824,0.067,435,0.274,0.402,15,1,0.262,1041
2025,"Washington Wizards",82,19730,0.439,15.1,0.565,0.213,0.225,0.079,0.047,0.435,0.519,0.703,0.417,0.383,0.397,0.335,0.549,0.813,0.052,350,0.166,0.348,21,0,0.263,1044
2024,"Atlanta Hawks",82,19855,0.465,14.1,0.592,0.247,0.194,0.104,0.047,0.408,0.535,0.649,0.437,0.477,0.471,0.364,0.537,0.791,0.065,445,0.26,0.38,15,0,0.259,1006
2024,"Boston Celtics",82,19830,0.487,15.6,0.529,0.212,0.181,0.083,0.053,0.471,0.575,0.745,0.478,0.454,0.418,0.388,0.503,0.796,0.066,439,0.204,0.441,11,1,0.249,1086
2024,"Brooklyn Nets",82,19805,0.456,14.2,0.588,0.242,0.199,0.094,0.053,0.412,0.522,0.692,0.406,0.433,0.346,0.362,0.527,0.844,0.054,353,0.261,0.414,23,1,0.266,1081
2024,"Chicago Bulls",82,19980,0.47,13.6,0.642,0.266,0.181,0.106,0.089,0.358,0.532,0.642,0.465,0.481,0.404,0.358,0.488,0.876,0.039,236,0.275,0.385,11,0,0.274,1156
2024,"Charlotte Hornets",82,19730,0.46,14.1,0.609,0.251,0.198,0.094,0.065,0.391,0.528,0.692,0.438,0.404,0.344,0.355,0.525,0.839,0.059,381,0.219,0.367,21,0,0.259,1036
2024,"Cleveland Cavaliers",82,19805,0.479,14,0.578,0.276,0.19,0.073,0.039,0.422,0.561,0.686,0.448,0.457,0.416,0.367,0.589,0.844,0.07,444,0.239,0.376,10,1,0.26,1056
